"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Расчет стоимости доставки для различных уровней нагрузки [3] 30.0, SMALL, NOT_FRAGILE, HEAVY, 420.0","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты расчета стоимости доставки","org.example.service.DeliveryServiceTest$deliveryCostCalculationTests","CalculateWorkLoadCostTest"
"","3","Проверка входных данных на null [2] 12.0, null, NOT_FRAGILE, HEAVY","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","validateDataTest"
"","3","Расчет стоимости доставки для различных размеров груза [1] 30.0, SMALL, NOT_FRAGILE, NORMAL, 400.0","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","CalculateSizeCostTest"
"","1","Проверка входных данных на null [4] 12.0, SMALL, NOT_FRAGILE, null","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты валидации данных","org.example.service.DeliveryServiceTest$ValidationTests","validateDataTest"
"","2","Расчет стоимости доставки для различных уровней нагрузки [1] 30.0, SMALL, NOT_FRAGILE, NORMAL, 400.0","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","CalculateWorkLoadCostTest"
"","3","Расчет стоимости доставки для различных уровней нагрузки [2] 30.0, SMALL, NOT_FRAGILE, INTENSE, 400.0","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","CalculateWorkLoadCostTest"
"","4","Расчет стоимости доставки для различных уровней нагрузки [1] 30.0, SMALL, NOT_FRAGILE, NORMAL, 400.0","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты расчета стоимости доставки","org.example.service.DeliveryServiceTest$deliveryCostCalculationTests","CalculateWorkLoadCostTest"
"","2","Расчет стоимости доставки для различных уровней нагрузки [2] 30.0, SMALL, NOT_FRAGILE, INTENSE, 400.0","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты расчета стоимости доставки","org.example.service.DeliveryServiceTest$deliveryCostCalculationTests","CalculateWorkLoadCostTest"
"","4","Проверка расстояния на <= 0 [1] 0.0","","Wed Mar 19 15:26:05 MSK 2025","passed","Wed Mar 19 15:26:05 MSK 2025","","Тесты валидации данных","org.example.service.DeliveryServiceTest$ValidationTests","validateDistanceLessOrEqualZeroTest"
"","7","Проверка входных данных на null [1] null, SMALL, NOT_FRAGILE, HEAVY","","Wed Mar 19 14:45:09 MSK 2025","passed","Wed Mar 19 14:45:09 MSK 2025","","org.example.service.DeliveryServiceTest","org.example.service.DeliveryServiceTest","validateDataTest"
